ID,Gender,Owns_Car,Owns_Property,Children_Count,Income,Income_Type,Education_Level,Marital_Status,Housing_Type,Age,Employment_Duration,Occupation,Family_Size,Risk_Level,Account_Age,Is_Unemployed
5008888,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46.6,3.7,Core staff,1.0,0,11,0
5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46.6,3.7,Core staff,1.0,0,4,0
5008890,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46.6,3.7,Core staff,1.0,0,48,0
5112847,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46.6,3.7,Core staff,1.0,0,25,0
5008891,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,7,0
5008892,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,37,0
5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,36,0
5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,36,0
5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,34,0
5008896,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,34,0
5008897,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,32,0
5008898,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,31,0
5008899,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,30,0
5008900,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,29,0
5008901,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,27,0
5008902,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,27,0
5008903,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,27,0
5008904,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,26,0
5008905,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,25,0
5008906,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,24,0
5008907,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,23,0
5008908,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,22,0
5008909,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,22,0
5008910,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,21,0
5008911,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,21,0
5008912,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,20,0
5008913,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,19,0
5008914,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,18,0
5008915,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,18,0
5008916,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,17,0
5008917,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,17,0
5008918,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,16,0
5008919,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,15,0
5008920,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,15,0
5008921,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,13,0
5008922,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,13,0
5008923,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,12,0
5008924,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,12,0
5008925,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,12,0
5008926,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,11,0
5008927,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,9,0
5008928,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,1,9,0
5008929,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,7,0
5008930,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,6,0
5008931,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,5,0
5008932,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,5,0
5008933,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,5,0
5008934,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,4,0
5008935,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,4,0
5008936,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,3,0
5008937,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,1,0
5008938,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,1,0
5008939,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,0,0
5008940,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,1,0
5008941,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.5,8.9,Laborers,1.0,0,7,0
5008942,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.3,13.3,High skill tech staff,2.0,1,43,0
5008943,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.3,13.3,High skill tech staff,2.0,0,14,0
5008944,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.3,13.3,High skill tech staff,2.0,1,23,0
5008945,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.3,13.3,High skill tech staff,2.0,1,30,0
5008946,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.3,13.3,High skill tech staff,2.0,1,48,0
5008947,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.4,3.9,Drivers,2.0,0,12,0
5008948,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.4,3.9,Drivers,2.0,0,17,0
5008949,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.4,3.9,Drivers,2.0,0,0,0
5008950,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.4,3.9,Drivers,2.0,0,12,0
5008951,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.3,7.7,Unknown,3.0,0,45,0
5008952,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.3,7.7,Unknown,3.0,0,54,0
5008953,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.3,7.7,Unknown,3.0,0,27,0
5008954,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.3,7.7,Unknown,3.0,0,5,0
5008955,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,4,0
5008956,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,39,0
5008957,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,51,0
5008958,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,3,0
5008959,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,15,0
5008960,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,28,0
5008962,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,26,0
5008963,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.7,4.7,Laborers,2.0,0,38,0
5008966,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.9,2.4,Unknown,2.0,1,15,0
5008967,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.9,2.4,Unknown,2.0,0,21,0
5008971,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.9,2.4,Unknown,2.0,0,55,0
5008973,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.9,2.4,Unknown,2.0,0,4,0
5008974,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,0,49,1
5008975,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,1,49,1
5008976,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,0,1,1
5008977,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,0,23,1
5008978,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,1,38,1
5008979,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,0,37,1
5008980,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1,,Unknown,2.0,0,58,1
5008981,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,10,0
5008983,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,58,0
5008984,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,58,0
5008986,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,10,0
5008987,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,10,0
5008988,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.1,6.5,Drivers,2.0,0,16,0
5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,30,0
5008992,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,6,0
5008993,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,17,0
5008994,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,19,0
5008995,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,28,0
5112861,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.4,3.3,Cleaning staff,1.0,0,21,0
5008998,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.1,2.3,Managers,2.0,0,4,0
5008999,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.1,2.3,Managers,2.0,0,24,0
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.2,2.3,Drivers,2.0,0,22,0
5009001,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,40,0
5009002,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,44,0
5009005,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,35,0
5009006,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,45,0
5009007,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,59,0
5009008,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,9,0
5009009,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,32,0
5009010,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,12,0
5009012,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,5,0
5009014,M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.8,17.2,Laborers,2.0,0,35,0
5009016,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,24,0
5009018,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,43,0
5009019,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,32,0
5009020,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,32,0
5009022,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,41,0
5009023,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,35,0
5009024,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,8,0
5009025,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.3,8.5,Unknown,4.0,0,33,0
5009027,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.4,29.7,Laborers,2.0,0,21,0
5112862,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.4,29.7,Laborers,2.0,0,40,0
5009028,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.6,7.6,Laborers,2.0,1,17,0
5009029,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.6,7.6,Laborers,2.0,0,15,0
5009031,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.9,3.3,Accountants,1.0,0,13,0
5009032,F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.9,3.3,Accountants,1.0,0,13,0
5009033,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,16,1
5009034,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,31,1
5009035,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,5,1
5009036,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,18,1
5009037,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,19,1
5009038,F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.1,,Unknown,2.0,0,12,1
5009039,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.2,1.5,Core staff,3.0,0,8,0
5009040,F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.2,1.5,Core staff,3.0,0,3,0
5009042,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,0,20,0
5009043,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,0,20,0
5009044,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,1,18,0
5009045,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,1,17,0
5009046,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,0,7,0
5009047,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48.3,2.4,Core staff,2.0,0,11,0
5009050,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.1,6.3,Core staff,4.0,0,34,0
5009051,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.1,6.3,Core staff,4.0,1,56,0
5009052,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.1,6.3,Core staff,4.0,0,47,0
5009053,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.1,6.3,Core staff,4.0,0,51,0
5009055,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.1,6.3,Core staff,4.0,0,55,0
5009056,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24.3,2.4,Drivers,1.0,0,24,0
5009057,M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24.3,2.4,Drivers,1.0,0,9,0
5009058,F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,20.5,2.2,Private service staff,1.0,0,0,0
5009060,F,N,Y,0,94500.0,Pensioner,Higher education,Married,House / apartment,61.1,,Unknown,2.0,0,3,1
5009062,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.6,5.7,Sales staff,2.0,0,45,0
